name:es_aa,name:es_var,type_var,2014
Belice,Es...Capacity building – env. business training,ind,0.038
Belice,Es...Capacity building – think tanks,ind,0.038
Belice,Es...Global rank,rank,33.0
Belice,Es...Regional rank,rank,15.0
RD Congo,Puntaje,score,0.757
RD Congo,Marco Propicio,param,0.797
RD Congo,Es...Clean energy policies,ind,0.015
RD Congo,Es...Power sector structure,ind,0.02
RD Congo,Es...Distributed energy regulatory framework,ind,0.036
RD Congo,Es...Clean energy rural electrification,ind,0.04
RD Congo,Es...Energy access policies,ind,0.034
RD Congo,Es...Policy barriers,ind,0.005
RD Congo,Es...Clean energy installed capacity,ind,0.012
RD Congo,Es...Growth rate of installed capacity,ind,0.0
RD Congo,Es...Clean energy electricity generation,ind,0.008
RD Congo,Es...Growth rate of electricity generation,ind,0.0
RD Congo,Es...Biofuels production,ind,0.0
RD Congo,Es...Growth rate biofuels production,ind,0.0
RD Congo,Es...Average electricity spot prices,ind,0.0
RD Congo,Es...Average retail electricity prices,ind,0.016
RD Congo,Es...Average residential electricity prices,ind,0.0
RD Congo,Es...Average commercial electricity prices,ind,0.0
RD Congo,Es...Average industrial electricity prices,ind,0.0
RD Congo,Es...Average kerosene prices,ind,0.038
RD Congo,Es...Average diesel prices,ind,0.04
RD Congo,Es...Growth rate of power demand,ind,0.0
RD Congo,Es...Electrification rate,ind,0.038
RD Congo,Es...Population using solid fuels for cooking,ind,0.019
RD Congo,Financiamiento y Inversión,param,0.351
RD Congo,Es...Clean energy investments,ind,0.0
RD Congo,Es...Growth rate of clean energy investments,ind,0.0
RD Congo,Es...Asset finance investments,ind,0.0
RD Congo,Es...Corporate finance investments,ind,0.0
RD Congo,Es...VC/PE investments,ind,0.0
RD Congo,"Es...Loans, grants, grant programs",ind,0.0
RD Congo,Es...Local investments,ind,0.0
RD Congo,Es...Number of Green MFI,ind,0.0
RD Congo,Es...Green micro-loans,ind,0.0
RD Congo,Es...Green micro-borrowers,ind,0.0
RD Congo,Es...Average cost of green micro debt,ind,0.05
RD Congo,Es...Average cost of debt,ind,0.056
RD Congo,Es...Swap rate,ind,0.0
RD Congo,Cadenas de valor,param,1.317
RD Congo,Es...Financial institutions in clean energy,ind,0.06
RD Congo,Es...Value chains by clean energy sector,ind,0.02
RD Congo,Es...Distributed clean energy value chains by sector,ind,0.075
RD Congo,Es...Clean energy service providers,ind,0.0
RD Congo,Es...Distributed clean energy service providers,ind,0.043
RD Congo,Gestión de GEI,param,0.905
RD Congo,Es...Carbon offsets historical activity,ind,0.038
RD Congo,Es...CDM risk,ind,0.062
RD Congo,Es...Carbon offsets future potential,ind,0.036
RD Congo,Es...GHG emissions reduction target,ind,0.0
RD Congo,Es...GHG country registry,ind,0.0
RD Congo,Es...GHG market-based instruments,ind,0.0
RD Congo,Es...PMR & NAMA,ind,0.0
RD Congo,Es...Voluntary GHG reporting by corporates,ind,0.0
RD Congo,Es...Investor pressure – PRI signatories,ind,0.0
RD Congo,Es...Corporate energy efficiency initiatives,ind,0.0
RD Congo,Es...Corporate emission reduction policies,ind,0.0
RD Congo,Es...Capacity building – env. business training,ind,0.0
RD Congo,Es...Capacity building – think tanks,ind,0.0
RD Congo,Es...Global rank,rank,42.0
RD Congo,Es...Regional rank,rank,14.0
Costa de Marfil,Puntaje,score,0.686
Costa de Marfil,Marco Propicio,param,1.06
Costa de Marfil,Es...Clean energy policies,ind,0.031
Costa de Marfil,Es...Power sector structure,ind,0.114
Costa de Marfil,Es...Distributed energy regulatory framework,ind,0.053
Costa de Marfil,Es...Clean energy rural electrification,ind,0.04
Costa de Marfil,Es...Energy access policies,ind,0.049
Costa de Marfil,Es...Policy barriers,ind,0.004
Costa de Marfil,Es...Clean energy installed capacity,ind,0.006
Costa de Marfil,Es...Growth rate of installed capacity,ind,0.0
Costa de Marfil,Es...Clean energy electricity generation,ind,0.004
Costa de Marfil,Es...Growth rate of electricity generation,ind,0.012
Costa de Marfil,Es...Biofuels production,ind,0.0
Costa de Marfil,Es...Growth rate biofuels production,ind,0.0
Costa de Marfil,Es...Average electricity spot prices,ind,0.0
